690,656
691,608
692,643
693,610
694,598
695,563
696,538
697,544
698,572
699,520
700,510
701,567
702,561
703,479
704,488
705,473
706,508
707,455
708,460
709,480
710,442
711,445
712,433
713,470
714,455
715,452
716,461
717,476
718,409
719,368
720,433
721,384
722,424
723,390
724,380
725,400
726,344
727,360
728,415
729,411
730,373
731,400
732,387
733,411
734,394
735,371
736,378
737,385
738,395
739,378
740,400
741,347
742,386
743,397
744,394
745,450
746,391
747,394
748,449
749,465
750,466
751,434
752,492
753,566
754,513
755,500
756,508
757,514
758,588
759,539
760,584
761,658
762,598
763,597
764,647
765,666
766,642
767,772
768,784
769,829
770,854
771,954
772,917
773,929
774,881
775,891
776,794
777,765
778,730
779,684
780,656
781,592
782,624
783,549
784,519
785,516
786,541
787,496
788,400
789,441
790,460
791,438
792,418
793,453
794,382
795,409
796,432
797,440
798,410
799,443
800,455
801,501
802,440
803,519
804,497
805,506
806,532
807,502
808,515
809,507
810,464
811,490
812,445
813,402
814,477
815,412
816,448
817,426
818,439
819,407
820,384
821,384
822,386
823,364
824,381
825,403
826,368
827,345
828,390
829,396
830,344
831,386
832,372
833,370
834,331
835,371
836,359
837,341
838,344
839,372
840,393
841,388
842,364
843,368
844,376
845,362
846,368
847,382
848,369
849,423
850,397
851,386
852,377
853,400
854,400
855,400
856,400
857,432
858,401
859,466
860,425
861,458
862,434
863,484
864,464
865,426
866,481
867,496
868,507
869,517
870,599
871,583
872,636
873,589
874,669
875,720
876,756
877,827
878,866
879,959
880,1086
881,1297
882,1483
883,1816
884,2337
885,3089
886,3889
887,4960
888,5697
889,6498
890,6797
891,6796
892,6276
893,5912
894,5280
895,4752
896,4690
897,4468
898,4760
899,5096
900,5850
901,6936
902,8503
903,10921
904,14128
905,18288
906,23312
907,27441
908,30595
909,30896
910,29235
911,25443
912,21267
913,16779
914,12855
915,9562
916,7212
917,5447
918,4222
919,3365
920,2749
921,2334
922,2004
923,1853
924,1594
925,1336
926,1271
927,1154
928,1085
929,1013
930,971
931,804
932,885
933,761
934,735
935,698
936,704
937,704
938,756
939,601
940,615
941,656
942,548
943,595
944,532
945,592
946,529
947,537
948,509
949,515
950,489
951,498
952,480
953,491
954,492
955,528
956,496
957,537
958,449
959,565
960,510
961,493
962,508
963,556
964,491
965,551
966,577
967,551
968,573
969,531
970,617
971,596
972,626
973,629
974,663
975,618
976,625
977,673
978,588
979,585
980,661
981,638
982,672
983,619
984,589
985,629
986,602
987,588
988,512
989,572
990,524
991,529
992,554
993,525
994,518
995,437
996,498
997,481
998,464
999,514
1000,454
1001,510
1002,493
1003,521
1004,498
1005,544
1006,581
1007,594
1008,609
1009,585
1010,619
1011,650
1012,745
1013,830
1014,891
1015,891
1016,1014
1017,1136
1018,1270
1019,1328
1020,1420
1021,1430
1022,1460
1023,1342
